modal_price,Min Price (₹),Max Price (₹),Change (₹),arrivals,Change (Tonne),commodity,date,temperature,rainfall,solar_radiation,wind_speed,rainfall_7d,rainfall_15d,temp_7d_avg,Month,Petrol_price,Diesel_price,Year,State,Month_Num,diesel_lag_7,diesel_lag_30,petrol_lag_7,petrol_lag_30,diesel_pct_change_30,market_closed_flag,price_lag_1,price_lag_3,price_lag_7,price_pct_change_3,arrival_lag_3,arrival_shock,arrival_rolling_7,supply_tightness,price_volatility_7
1191.41,546.55,1615.66,,20877.2,,onion,2014-12-31,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1148.39,594.64,1572.04,-43.02,16717.2,-4160.0,onion,2015-01-01,22.6,0.0,13.53,13.3,,,,Jan,66.4,55.5,2015.0,Maharashtra,1.0,,,,,,0,1191.41,,,,,,,,
1166.64,564.24,1568.4,18.25,14292.2,-2425.0,onion,2015-01-02,22.4,0.0,16.29,10.9,,,,Jan,66.4,55.5,2015.0,Maharashtra,1.0,,,,,,0,1148.39,,,,,,,,
1165.05,535.05,1714.95,-1.59,9723.2,-4569.0,onion,2015-01-03,23.0,0.0,16.23,13.4,,,,Jan,66.4,55.5,2015.0,Maharashtra,1.0,,,,,,0,1166.64,1191.41,,-0.022125045114612205,20877.2,-0.5342670473051941,,,
1162.5,555.0,1732.6,-2.55,3360.8,-6362.4,onion,2015-01-04,24.8,0.0,16.95,14.5,,,,Jan,66.4,55.5,2015.0,Maharashtra,1.0,,,,,,0,1165.05,1148.39,,0.012286766690758278,16717.2,-0.7989615485846913,,,
1203.57,559.11,1648.29,41.07,22948.2,19587.4,onion,2015-01-05,25.0,0.0,18.17,16.5,,,,Jan,66.4,55.5,2015.0,Maharashtra,1.0,,,,,,0,1162.5,1166.64,,0.03165500925735431,14292.2,0.6056450371531324,,,
1164.64,498.0,1587.8,-38.93,18798.9,-4149.3,onion,2015-01-06,24.5,0.0,18.1,15.5,,,,Jan,66.4,55.5,2015.0,Maharashtra,1.0,,,,,,0,1203.57,1165.05,,-0.0003519162267712583,9723.2,0.9334066973835774,15245.385714285716,-0.23308785702840293,18.937766248324763
1245.03,562.9,1655.23,80.39,21429.0,2630.1,onion,2015-01-07,23.0,0.0,18.8,15.5,0.0,,23.614285714285717,Jan,66.4,55.5,2015.0,Maharashtra,1.0,,,,,,0,1164.64,1162.5,1191.41,0.07099354838709675,3360.8,5.376160437990954,15324.214285714286,-0.39837512060744196,33.47962948534801
1199.53,590.66,1567.66,-45.5,16435.2,-4993.8,onion,2015-01-08,23.9,0.0,18.72,14.3,0.0,,23.8,Jan,66.4,55.5,2015.0,Maharashtra,1.0,55.5,,66.4,,,0,1245.03,1203.57,1148.39,-0.0033566805420540257,22948.2,-0.28381310952493005,15283.92857142857,-0.07532562215212067,31.077869633428413
1126.17,485.73,1545.53,-73.36,22422.1,5986.9,onion,2015-01-09,24.7,0.0,18.83,13.7,0.0,,24.12857142857143,Jan,66.4,55.5,2015.0,Maharashtra,1.0,55.5,,66.4,,,0,1199.53,1164.64,1166.64,-0.033031666437697504,18798.9,0.19273468128454307,16445.342857142856,-0.36343159244388773,38.34753478138483
