date,temperature,rainfall,solar_radiation,wind_speed,state
2015-01-01,22.6,0.0,13.53,13.3,Maharashtra
2015-01-02,22.4,0.0,16.29,10.9,Maharashtra
2015-01-03,23.0,0.0,16.23,13.4,Maharashtra
2015-01-04,24.8,0.0,16.95,14.5,Maharashtra
2015-01-05,25.0,0.0,18.17,16.5,Maharashtra
2015-01-06,24.5,0.0,18.1,15.5,Maharashtra
2015-01-07,23.0,0.0,18.8,15.5,Maharashtra
2015-01-08,23.9,0.0,18.72,14.3,Maharashtra
2015-01-09,24.7,0.0,18.83,13.7,Maharashtra
2015-01-10,24.1,0.0,19.33,15.0,Maharashtra
2015-01-11,23.8,0.0,19.6,14.7,Maharashtra
2015-01-12,23.7,0.0,19.61,14.3,Maharashtra
2015-01-13,22.6,0.0,19.64,14.2,Maharashtra
2015-01-14,23.0,0.0,19.34,14.1,Maharashtra
2015-01-15,23.4,0.0,19.38,14.0,Maharashtra
2015-01-16,23.8,0.0,19.31,13.1,Maharashtra
2015-01-17,24.1,0.0,19.26,13.6,Maharashtra
2015-01-18,24.3,0.0,19.22,16.2,Maharashtra
2015-01-19,23.2,0.0,19.26,15.0,Maharashtra
2015-01-20,22.7,0.0,18.94,9.2,Maharashtra
2015-01-21,22.9,0.0,19.32,17.1,Maharashtra
2015-01-22,22.8,0.0,15.93,18.1,Maharashtra
2015-01-23,23.7,0.0,18.13,19.6,Maharashtra
2015-01-24,24.5,0.0,16.69,18.2,Maharashtra
2015-01-25,24.1,0.0,17.64,19.4,Maharashtra
2015-01-26,23.7,0.0,18.04,19.9,Maharashtra
2015-01-27,23.1,0.0,19.5,22.3,Maharashtra
2015-01-28,23.9,0.0,19.45,19.3,Maharashtra
2015-01-29,24.1,0.0,19.87,16.0,Maharashtra
2015-01-30,25.7,0.0,19.75,13.2,Maharashtra
2015-01-31,25.7,0.0,20.21,13.5,Maharashtra
2015-02-01,24.4,0.0,20.38,14.8,Maharashtra
2015-02-02,23.4,0.0,20.37,16.6,Maharashtra
2015-02-03,24.8,0.0,20.29,15.2,Maharashtra
2015-02-04,26.2,0.0,20.61,16.6,Maharashtra
2015-02-05,25.2,0.0,20.68,14.8,Maharashtra
2015-02-06,24.8,0.0,19.96,15.3,Maharashtra
2015-02-07,23.6,0.0,20.76,16.8,Maharashtra
2015-02-08,23.4,0.0,21.18,15.6,Maharashtra
2015-02-09,24.9,0.0,21.37,16.8,Maharashtra
2015-02-10,24.7,0.0,20.68,15.6,Maharashtra
2015-02-11,24.8,0.0,21.16,16.5,Maharashtra
2015-02-12,24.5,0.0,21.53,17.5,Maharashtra
2015-02-13,24.5,0.0,21.63,15.6,Maharashtra
2015-02-14,24.5,0.0,21.88,13.1,Maharashtra
2015-02-15,24.3,0.0,22.22,14.0,Maharashtra
2015-02-16,24.5,0.0,22.2,19.9,Maharashtra
2015-02-17,25.0,0.0,22.48,16.2,Maharashtra
2015-02-18,24.0,0.0,22.34,15.6,Maharashtra
2015-02-19,24.3,0.0,22.29,18.7,Maharashtra
2015-02-20,24.7,0.0,22.13,18.3,Maharashtra
2015-02-21,27.3,0.0,22.49,14.1,Maharashtra
2015-02-22,26.9,0.0,22.51,15.8,Maharashtra
2015-02-23,26.8,0.0,22.72,15.5,Maharashtra
2015-02-24,26.2,0.0,22.11,17.7,Maharashtra
2015-02-25,25.3,0.0,22.45,20.7,Maharashtra
2015-02-26,24.4,0.0,22.77,18.7,Maharashtra
2015-02-27,23.6,0.0,23.18,15.3,Maharashtra
2015-02-28,22.8,6.7,15.53,23.8,Maharashtra
2015-03-01,22.2,11.0,15.24,26.6,Maharashtra
2015-03-02,23.4,0.2,20.97,15.2,Maharashtra
2015-03-03,21.9,0.0,22.31,13.9,Maharashtra
2015-03-04,22.5,0.0,24.07,20.0,Maharashtra
2015-03-05,23.6,0.0,24.09,15.7,Maharashtra
2015-03-06,25.6,0.0,24.15,15.9,Maharashtra
2015-03-07,25.7,0.0,24.24,15.3,Maharashtra
2015-03-08,25.2,0.0,24.09,19.6,Maharashtra
2015-03-09,26.7,0.0,23.85,17.4,Maharashtra
2015-03-10,26.7,0.0,23.0,15.5,Maharashtra
2015-03-11,27.2,0.0,22.35,11.9,Maharashtra
2015-03-12,28.5,0.0,23.22,17.9,Maharashtra
2015-03-13,28.7,0.3,23.64,14.2,Maharashtra
2015-03-14,26.8,0.0,22.7,19.0,Maharashtra
2015-03-15,25.8,0.0,23.69,17.5,Maharashtra
2015-03-16,25.5,0.0,24.13,16.9,Maharashtra
2015-03-17,26.2,0.0,25.27,20.1,Maharashtra
2015-03-18,27.8,0.0,25.23,18.7,Maharashtra
2015-03-19,27.6,0.0,25.2,19.0,Maharashtra
2015-03-20,28.0,0.0,23.98,16.6,Maharashtra
2015-03-21,28.4,0.0,23.46,14.0,Maharashtra
2015-03-22,28.1,0.0,23.22,16.6,Maharashtra
2015-03-23,28.4,0.0,23.35,15.3,Maharashtra
2015-03-24,29.2,0.0,24.99,18.5,Maharashtra
2015-03-25,30.0,0.0,25.11,15.6,Maharashtra
2015-03-26,28.5,0.0,22.32,19.7,Maharashtra
2015-03-27,28.2,0.0,23.66,16.4,Maharashtra
2015-03-28,28.1,0.0,23.37,17.4,Maharashtra
2015-03-29,28.6,0.0,21.02,22.0,Maharashtra
2015-03-30,29.3,0.0,24.7,17.4,Maharashtra
2015-03-31,28.6,0.0,26.47,18.8,Maharashtra
2015-04-01,26.9,0.0,26.56,17.7,Maharashtra
2015-04-02,26.8,0.0,26.34,19.3,Maharashtra
2015-04-03,27.1,0.0,26.12,17.1,Maharashtra
2015-04-04,27.1,0.0,26.45,17.7,Maharashtra
2015-04-05,26.8,0.0,25.37,17.1,Maharashtra
2015-04-06,26.3,0.0,26.32,17.2,Maharashtra
2015-04-07,26.4,0.0,25.72,17.4,Maharashtra
2015-04-08,26.8,0.0,25.39,17.8,Maharashtra
2015-04-09,27.7,0.0,25.29,16.6,Maharashtra
2015-04-10,27.6,0.0,23.5,18.1,Maharashtra
2015-04-11,27.4,0.0,22.53,18.4,Maharashtra
2015-04-12,27.0,0.0,25.39,20.5,Maharashtra
2015-04-13,27.0,0.0,23.47,18.1,Maharashtra
2015-04-14,27.3,1.1,22.42,17.9,Maharashtra
2015-04-15,27.5,0.0,22.87,17.3,Maharashtra
2015-04-16,29.1,0.0,23.53,17.1,Maharashtra
2015-04-17,29.4,0.0,23.57,21.7,Maharashtra
2015-04-18,28.9,0.0,25.24,17.3,Maharashtra
2015-04-19,29.7,0.0,25.85,19.2,Maharashtra
2015-04-20,29.4,0.0,24.58,16.2,Maharashtra
2015-04-21,29.4,0.0,25.17,21.7,Maharashtra
2015-04-22,29.2,0.0,24.07,19.6,Maharashtra
2015-04-23,29.1,0.0,25.48,17.7,Maharashtra
2015-04-24,28.8,0.0,26.79,19.2,Maharashtra
2015-04-25,28.3,0.0,26.03,16.9,Maharashtra
2015-04-26,28.1,0.0,26.0,17.4,Maharashtra
2015-04-27,28.7,0.0,25.35,18.4,Maharashtra
2015-04-28,28.9,0.0,25.87,17.4,Maharashtra
2015-04-29,28.9,0.0,26.71,18.3,Maharashtra
2015-04-30,28.7,0.0,26.5,17.1,Maharashtra
2015-05-01,28.9,0.0,26.14,15.2,Maharashtra
2015-05-02,28.5,0.0,26.34,18.6,Maharashtra
2015-05-03,28.8,0.0,26.38,17.9,Maharashtra
2015-05-04,28.9,0.0,26.94,20.1,Maharashtra
2015-05-05,29.7,0.0,25.88,16.2,Maharashtra
2015-05-06,30.3,0.0,25.73,18.5,Maharashtra
